number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,14152.972129895858,2026-04-15 15:22:28.852061,2026-04-15 15:22:36.391468,0 days 00:00:07.539407,0.5290418060840998,9,0.5779972601681014,0.17254716573280354,8,19,574,192,0.002570603566117598,0.023585940584142682,COMPLETE
1,17378.189862607942,2026-04-15 15:22:36.391580,2026-04-15 15:22:38.218264,0 days 00:00:01.826684,0.6521211214797689,6,0.5917022549267169,0.18276027831785724,5,22,220,216,7.71800699380605e-05,4.17890272377219e-06,COMPLETE
2,19106.055675519758,2026-04-15 15:22:38.218337,2026-04-15 15:22:45.129167,0 days 00:00:06.910830,0.5998368910791798,6,0.8925879806965068,0.01518747922672247,6,48,812,86,0.0021465011216654484,2.6185068507773707e-08,COMPLETE
3,19466.750422382953,2026-04-15 15:22:45.129252,2026-04-15 15:22:52.238855,0 days 00:00:07.109603,0.6523068845866853,1,0.9041986740582306,0.016666983286066417,12,97,808,31,0.014391207615728067,9.148975058772307e-05,COMPLETE
4,17809.827705128737,2026-04-15 15:22:52.238945,2026-04-15 15:22:55.100302,0 days 00:00:02.861357,0.6558555380447055,6,0.831261142176991,0.04407984038169244,12,29,322,24,0.0008325158565947976,4.609885087947832e-07,COMPLETE
5,14592.384118258715,2026-04-15 15:22:55.100380,2026-04-15 15:23:09.753056,0 days 00:00:14.652676,0.5442462510259598,2,0.9609371175115584,0.10196967939171485,11,62,1170,242,2.5529693461039728e-08,8.471746987003668e-06,COMPLETE
6,18337.63272407422,2026-04-15 15:23:09.753168,2026-04-15 15:23:14.457167,0 days 00:00:04.703999,0.5704621124873813,9,0.7713480415791243,0.022544116997360492,6,31,589,215,4.6876566400928895e-08,7.620481786158549,COMPLETE
7,19833.264998696464,2026-04-15 15:23:14.457228,2026-04-15 15:23:19.880684,0 days 00:00:05.423456,0.8856351733429728,1,0.8645035840204937,0.018135730867783396,11,72,973,17,1.683416412018213e-05,1.1036250149900698e-07,COMPLETE
8,21120.32707472141,2026-04-15 15:23:19.880751,2026-04-15 15:23:23.302454,0 days 00:00:03.421703,0.864803089169032,7,0.6625916610133735,0.06470376604234768,3,34,1063,95,0.9658611176861268,0.0001778010520878397,COMPLETE
9,17210.107489106776,2026-04-15 15:23:23.302516,2026-04-15 15:23:29.599339,0 days 00:00:06.296823,0.7613664146909971,5,0.7468977981821954,0.08471354625326555,8,79,319,199,1.6934490731313353e-08,9.354548757337708e-08,COMPLETE
10,11771.367817396296,2026-04-15 15:23:29.599421,2026-04-15 15:23:42.357051,0 days 00:00:12.757630,0.97988537297271,10,0.5193625999805915,0.1635616352001945,9,6,574,158,3.331630946893803,0.04422317327084487,COMPLETE
11,11899.36506076796,2026-04-15 15:23:42.357132,2026-04-15 15:23:54.101065,0 days 00:00:11.743933,0.9954751604555587,10,0.5059508549225745,0.17003049371529194,9,6,546,163,3.5232309958517125,0.10648056334563076,COMPLETE
12,11761.774124308275,2026-04-15 15:23:54.101147,2026-04-15 15:24:04.258876,0 days 00:00:10.157729,0.9960184854215254,10,0.5167929424672362,0.1223131444764661,9,7,491,147,8.034080399870295,0.027258905572753962,COMPLETE
13,11721.029133300786,2026-04-15 15:24:04.258969,2026-04-15 15:24:13.909964,0 days 00:00:09.650995,0.9935058020006843,10,0.5100656723353845,0.12052558991305405,10,7,455,133,0.18732438265931683,0.022339412966283008,COMPLETE
14,15128.653377118124,2026-04-15 15:24:13.910030,2026-04-15 15:24:20.574014,0 days 00:00:06.663984,0.8933139358849992,8,0.6430500889515622,0.03543330381943361,10,48,392,116,0.1384225962601327,0.004620611067110969,COMPLETE
15,12928.928546695683,2026-04-15 15:24:20.574080,2026-04-15 15:24:27.273590,0 days 00:00:06.699510,0.8022386287081896,3,0.5719000443425397,0.10062194140594174,10,14,442,74,0.07476985772132913,1.3633787300256164,COMPLETE
16,11449.437258529932,2026-04-15 15:24:27.273655,2026-04-15 15:24:41.557551,0 days 00:00:14.283896,0.9468673834403696,8,0.6578922576384467,0.06531267676337638,9,5,728,136,9.60948503838278,0.003014739078784071,COMPLETE
17,14777.486755018486,2026-04-15 15:24:41.557627,2026-04-15 15:24:48.914057,0 days 00:00:07.356430,0.9326572503616269,8,0.6916180226553075,0.06469272501654628,7,40,715,118,0.23378225464218577,0.001638640151596425,COMPLETE
18,12810.557254367755,2026-04-15 15:24:48.914142,2026-04-15 15:25:01.769654,0 days 00:00:12.855512,0.8275486636255249,4,0.7421147356403359,0.03355131256102362,10,18,717,119,0.023761142703955414,0.5341541735951733,COMPLETE
19,16569.42217380832,2026-04-15 15:25:01.769717,2026-04-15 15:25:08.345564,0 days 00:00:06.575847,0.9330402796023959,8,0.6220971138701562,0.06156303674035226,7,94,893,51,3.3922432941108326e-06,0.0019819020442903026,COMPLETE
